investor_id,num_sips,avg_gap_days,max_gap_days,at_risk,total_invested
INV000155,7,37.3,99,Yes,57530
INV000161,7,73.0,213,Yes,44287
INV000163,8,61.0,80,Yes,58271
INV000164,6,61.8,208,Yes,25253
INV000169,7,67.8,145,Yes,48708
INV000173,7,57.7,165,Yes,78387
INV000175,7,83.7,170,Yes,71320
INV000177,8,65.4,278,Yes,51520
INV000180,6,61.8,229,Yes,15924
INV000183,9,56.1,216,Yes,86040
INV000191,7,56.5,161,Yes,68656
INV000194,7,58.0,109,Yes,61857
INV000195,6,77.4,114,Yes,21739
INV000196,7,69.0,176,Yes,80685
INV000201,9,51.1,100,Yes,98278
INV000205,8,62.6,193,Yes,72091
INV000210,8,70.7,163,Yes,93572
INV000214,6,94.8,306,Yes,67357
INV000217,6,92.0,183,Yes,44146
INV000228,9,59.8,188,Yes,239176
INV000236,8,67.1,112,Yes,112217
INV000238,6,93.6,287,Yes,146422
INV000239,8,48.9,105,Yes,161292
INV000243,6,88.2,137,Yes,58145
INV000245,6,92.2,164,Yes,46023
INV000249,7,45.5,162,Yes,194759
INV000252,6,50.4,96,Yes,103128
INV000255,6,48.6,103,Yes,34653
INV000256,6,70.2,155,Yes,31902
INV000259,6,70.6,165,Yes,81938
INV000260,8,59.6,206,Yes,139633
INV000262,8,53.6,122,Yes,47209
INV000263,8,68.4,271,Yes,157678
INV000265,10,53.4,140,Yes,203433
INV000268,7,62.3,143,Yes,79605
INV000279,9,43.4,133,Yes,61623
INV000280,9,55.8,191,Yes,145194
INV000283,6,68.0,195,Yes,24362
INV000287,7,69.8,301,Yes,64351
INV000289,8,62.7,142,Yes,81640
INV000291,6,89.0,196,Yes,76178
INV000292,7,46.0,95,Yes,123656
INV000293,7,47.0,91,Yes,70574
INV000297,6,90.6,163,Yes,22338
INV000299,6,85.2,240,Yes,45557
INV000304,7,70.0,204,Yes,79554
INV000309,8,52.0,157,Yes,63146
INV000310,7,75.8,164,Yes,46368
INV000318,6,97.4,175,Yes,69726
INV000319,7,73.5,201,Yes,40143
INV000321,7,72.8,204,Yes,91225
INV000328,9,37.5,73,Yes,64273
INV000331,8,50.7,163,Yes,124378
INV000334,7,25.5,60,Yes,43720
INV000335,6,96.0,279,Yes,68848
INV000339,6,94.0,195,Yes,74556
INV000341,8,54.4,191,Yes,76460
INV000356,6,54.4,157,Yes,72865
INV000359,9,54.1,197,Yes,93451
INV000363,7,77.0,153,Yes,59677
INV000369,6,43.8,112,Yes,22654
INV000371,8,59.3,147,Yes,71985
INV000372,7,54.5,121,Yes,89873
INV000380,6,97.0,272,Yes,72700
INV000388,9,53.6,119,Yes,109420
INV000392,7,77.2,205,Yes,39530
INV000395,7,55.7,119,Yes,23004
INV000396,6,83.2,153,Yes,46049
INV000399,10,49.6,68,Yes,58193
INV000400,6,62.6,101,Yes,21256
INV000403,6,58.2,90,Yes,74178
INV000407,6,82.4,157,Yes,112123
INV000408,6,46.8,125,Yes,47374
INV000412,8,43.7,70,Yes,87441
INV000414,8,66.3,233,Yes,95455
INV000415,7,66.2,128,Yes,42775
INV000418,6,86.8,238,Yes,113497
INV000427,7,68.5,116,Yes,106145
INV000428,8,52.1,164,Yes,54350
INV000429,6,77.2,187,Yes,117284
INV000437,6,97.8,295,Yes,32739
INV000440,8,69.6,162,Yes,33647
INV000441,6,60.8,151,Yes,45638
INV000444,6,73.2,129,Yes,76737
INV000445,9,57.8,129,Yes,52898
INV000446,6,38.6,101,Yes,31195
INV000449,6,46.8,70,Yes,59567
INV000452,9,49.4,123,Yes,84270
INV000457,6,91.4,256,Yes,32725
INV000460,6,43.4,107,Yes,35369
INV000463,7,65.2,181,Yes,144163
INV000466,7,73.3,135,Yes,125151
INV000467,10,56.7,272,Yes,65408
INV000469,7,70.5,183,Yes,34180
INV000483,8,70.4,252,Yes,142115
INV000491,6,95.0,202,Yes,43008
INV000493,10,47.6,201,Yes,130085
INV000497,7,71.8,191,Yes,72087
INV000499,7,77.8,157,Yes,127344
INV000507,7,70.2,249,Yes,58920
INV000512,9,54.8,112,Yes,73426
INV000522,6,100.8,309,Yes,28275
INV000524,7,55.0,91,Yes,118571
INV000527,6,50.8,116,Yes,115570
INV000529,6,59.2,110,Yes,23027
INV000531,7,47.0,82,Yes,151584
INV000539,7,77.0,153,Yes,107371
INV000540,7,73.5,123,Yes,78276
INV000543,7,83.7,218,Yes,162711
INV000545,6,80.6,181,Yes,48548
INV000546,9,55.0,154,Yes,92002
INV000547,6,55.8,140,Yes,37135
INV000549,6,96.2,146,Yes,86784
INV000553,6,72.0,172,Yes,54698
INV000554,6,70.2,171,Yes,56741
INV000556,8,52.4,156,Yes,126416
INV000562,6,74.4,197,Yes,48292
INV000563,7,76.3,198,Yes,59358
INV000566,7,35.0,119,Yes,120009
INV000567,6,63.8,166,Yes,33277
INV000568,6,62.4,180,Yes,106953
INV000570,8,67.3,186,Yes,136242
INV000573,7,50.8,154,Yes,114632
INV000575,6,71.6,155,Yes,43192
INV000578,7,66.8,164,Yes,91996
INV000581,7,78.3,160,Yes,58863
INV000586,7,44.5,111,Yes,138122
INV000589,9,59.1,90,Yes,69345
INV000591,7,64.5,112,Yes,15867
INV000593,6,74.2,179,Yes,31078
INV000596,9,51.8,140,Yes,169915
INV000597,6,88.6,198,Yes,82488
INV000599,7,81.5,171,Yes,103758
INV000607,7,66.7,209,Yes,38693
INV000608,6,100.2,324,Yes,45475
INV000609,6,47.0,87,Yes,44212
INV000612,11,49.3,169,Yes,123648
INV000615,7,55.8,139,Yes,29577
INV000624,7,31.7,53,Yes,131937
INV000625,6,86.4,134,Yes,23397
INV000630,7,68.7,161,Yes,55182
INV000631,6,54.0,145,Yes,45319
INV000634,9,52.2,147,Yes,98595
INV000635,6,75.0,240,Yes,30163
INV000641,6,54.8,126,Yes,92825
INV000642,9,53.5,139,Yes,109817
INV000645,6,66.0,127,Yes,26646
INV000646,7,62.3,138,Yes,76212
INV000651,6,94.0,304,Yes,34381
INV000652,6,93.8,262,Yes,34837
INV000657,8,64.7,106,Yes,103388
INV000662,8,66.1,185,Yes,34238
INV000663,6,94.4,247,Yes,83316
INV000665,10,36.2,148,Yes,56140
INV000667,6,68.0,134,Yes,117715
INV000673,6,92.8,235,Yes,145533
INV000675,6,62.8,155,Yes,23160
INV000676,11,35.3,106,Yes,174741
INV000678,7,63.3,140,Yes,36623
INV000683,9,54.5,137,Yes,47678
INV000690,8,56.3,134,Yes,169171
INV000691,6,66.4,163,Yes,50363
INV000698,9,52.2,219,Yes,77848
INV000699,6,42.8,147,Yes,51568
INV000701,7,83.7,298,Yes,51486
INV000707,9,34.4,106,Yes,50988
INV000709,7,65.2,128,Yes,143724
INV000710,6,88.6,264,Yes,62975
INV000714,9,37.0,95,Yes,47519
INV000718,7,57.8,118,Yes,52719
INV000719,7,72.8,185,Yes,131252
INV000724,6,81.2,227,Yes,33281
INV000725,7,67.7,92,Yes,89962
INV000734,8,64.0,180,Yes,108076
INV000737,6,92.6,168,Yes,146341
INV000747,6,84.6,205,Yes,86939
INV000750,9,26.5,84,Yes,95979
INV000751,9,53.0,193,Yes,42163
INV000754,7,72.3,103,Yes,97616
INV000759,7,83.0,156,Yes,44038
INV000761,7,75.2,173,Yes,115474
INV000768,8,60.0,124,Yes,81075
INV000772,6,46.0,81,Yes,88779
INV000774,7,73.7,169,Yes,83715
INV000776,8,59.4,116,Yes,40424
INV000777,6,66.0,121,Yes,20946
INV000778,8,59.7,182,Yes,99237
INV000779,6,75.0,153,Yes,12215
INV000783,6,89.8,187,Yes,138175
INV000785,6,32.6,66,Yes,29312
INV000786,9,64.1,199,Yes,73859
INV000789,8,55.1,225,Yes,110683
INV000793,8,69.1,149,Yes,105129
INV000803,7,77.2,147,Yes,75412
INV000814,6,94.0,195,Yes,111708
INV000822,7,55.5,141,Yes,68933
INV000823,7,39.7,69,Yes,49395
INV000827,8,58.3,122,Yes,46159
INV000830,6,72.2,165,Yes,77141
INV000833,8,67.3,182,Yes,88699
INV000836,6,84.8,123,Yes,127974
INV000843,6,55.6,102,Yes,49484
INV000844,7,66.2,151,Yes,48647
INV000847,6,47.8,75,Yes,20771
INV000853,10,49.3,193,Yes,61865
INV000854,9,61.2,170,Yes,149355
INV000858,9,44.9,157,Yes,70918
INV000862,6,91.2,372,Yes,119139
INV000864,6,40.8,106,Yes,72191
INV000865,9,45.8,99,Yes,164885
INV000869,6,65.4,100,Yes,29400
INV000873,7,73.5,299,Yes,44839
INV000874,9,62.1,149,Yes,38895
INV000877,6,59.4,159,Yes,116062
INV000881,10,46.1,155,Yes,61437
INV000887,7,65.7,268,Yes,115877
INV000888,7,80.3,166,Yes,98413
INV000893,7,59.5,147,Yes,93208
INV000894,6,55.0,105,Yes,36994
INV000901,6,54.0,95,Yes,36100
INV000907,6,59.2,139,Yes,26520
INV000920,6,75.6,220,Yes,97652
INV000926,6,80.0,111,Yes,67012
INV000929,7,58.2,116,Yes,150139
INV000930,8,32.4,118,Yes,92989
INV000935,9,30.9,73,Yes,152824
INV000939,8,60.6,154,Yes,69507
INV000942,7,53.0,92,Yes,138493
INV000949,7,67.5,135,Yes,49784
INV000950,6,91.0,215,Yes,37182
INV000971,7,46.8,139,Yes,38940
INV000974,7,73.5,143,Yes,40022
INV000977,10,48.8,147,Yes,129735
INV000979,6,79.8,115,Yes,141450
INV000980,8,44.4,121,Yes,208518
INV000981,6,50.4,104,Yes,68442
INV000986,7,60.8,182,Yes,166388
INV000994,6,63.8,167,Yes,55817
INV001001,8,60.3,137,Yes,67731
INV001002,7,41.7,85,Yes,38098
INV001005,6,93.6,206,Yes,74535
INV001008,7,64.7,191,Yes,63227
INV001013,6,96.8,164,Yes,81838
INV001017,6,67.0,142,Yes,27846
INV001019,9,44.9,180,Yes,62583
INV001021,7,68.7,186,Yes,54295
INV001023,8,72.4,202,Yes,38036
INV001025,6,38.8,76,Yes,77009
INV001026,6,69.4,132,Yes,51600
INV001037,10,42.0,86,Yes,73922
INV001039,6,66.2,187,Yes,19840
INV001041,7,83.0,195,Yes,72624
INV001047,7,66.2,142,Yes,52894
INV001048,8,47.0,84,Yes,36491
INV001051,8,54.1,139,Yes,57451
INV001053,8,55.9,116,Yes,46140
INV001055,6,93.2,177,Yes,77109
INV001060,9,53.4,89,Yes,113690
INV001061,9,51.1,141,Yes,99794
INV001063,8,43.3,120,Yes,30795
INV001064,9,59.5,160,Yes,151648
INV001069,8,41.3,98,Yes,96230
INV001070,6,97.0,329,Yes,103923
INV001092,7,77.3,186,Yes,75632
INV001099,8,26.1,63,Yes,135739
INV001102,7,55.3,87,Yes,87539
INV001115,6,81.4,290,Yes,51387
INV001116,9,58.1,194,Yes,74728
INV001117,8,61.7,137,Yes,53882
INV001130,7,76.8,131,Yes,139695
INV001137,7,57.0,120,Yes,35691
INV001140,6,60.4,125,Yes,39628
INV001141,6,97.6,132,Yes,34460
INV001142,7,42.8,106,Yes,60116
INV001156,6,102.4,175,Yes,51977
INV001160,8,57.6,99,Yes,45043
INV001161,6,80.6,159,Yes,146262
INV001163,7,67.3,255,Yes,33877
INV001167,6,96.2,207,Yes,78024
INV001170,6,68.2,119,Yes,70673
INV001173,6,67.0,146,Yes,58382
INV001178,7,79.7,140,Yes,37864
INV001180,6,74.4,198,Yes,104216
INV001181,8,67.4,163,Yes,91218
INV001190,6,97.0,198,Yes,45744
INV001195,8,53.4,167,Yes,127687
INV001196,6,92.2,169,Yes,61840
INV001202,8,58.0,103,Yes,54919
INV001206,6,83.6,190,Yes,76395
INV001208,7,51.8,107,Yes,68466
INV001210,9,36.9,93,Yes,84090
INV001217,8,60.1,205,Yes,99061
INV001219,8,50.9,118,Yes,90473
INV001220,7,77.2,104,Yes,18410
INV001223,7,70.8,175,Yes,81600
INV001234,8,60.6,119,Yes,91103
INV001235,9,59.0,161,Yes,125966
INV001237,6,98.0,182,Yes,66778
INV001238,7,68.5,220,Yes,45560
INV001242,6,69.8,128,Yes,26658
INV001251,6,82.0,223,Yes,142919
INV001262,7,44.8,116,Yes,135943
INV001274,7,73.3,161,Yes,56609
INV001275,7,66.7,140,Yes,51676
INV001282,6,67.0,196,Yes,50374
INV001287,6,92.2,157,Yes,74519
INV001288,7,45.7,148,Yes,127240
INV001291,6,76.2,181,Yes,118076
INV001295,9,50.8,165,Yes,66843
INV001298,7,71.8,158,Yes,13160
INV001299,9,51.2,121,Yes,67906
INV001304,6,97.6,177,Yes,127605
INV001308,9,54.6,147,Yes,145248
INV001310,6,81.2,232,Yes,48861
INV001314,10,50.4,130,Yes,196028
INV001315,7,51.8,124,Yes,62854
INV001316,6,92.4,198,Yes,14835
INV001317,6,84.8,162,Yes,29592
INV001318,10,46.2,150,Yes,112663
INV001326,8,69.4,182,Yes,103082
INV001329,6,68.2,97,Yes,60331
INV001331,6,94.2,202,Yes,31343
INV001332,7,80.0,179,Yes,56992
INV001333,7,78.7,185,Yes,11779
INV001336,8,65.9,198,Yes,94852
INV001348,7,47.8,121,Yes,91022
INV001351,7,70.5,208,Yes,146308
INV001355,6,60.2,187,Yes,41992
INV001356,6,79.2,191,Yes,39847
INV001359,7,72.5,313,Yes,109856
INV001361,7,50.5,103,Yes,99669
INV001367,6,99.0,222,Yes,71798
INV001375,7,78.5,176,Yes,46716
INV001376,7,78.7,181,Yes,66059
INV001383,8,56.1,117,Yes,80080
INV001387,9,57.2,130,Yes,111470
INV001394,8,63.6,171,Yes,127115
INV001400,6,76.8,266,Yes,111893
INV001401,6,68.6,197,Yes,39421
INV001406,10,47.7,202,Yes,71494
INV001407,6,45.2,141,Yes,49474
INV001415,8,68.1,173,Yes,48063
INV001418,6,88.6,187,Yes,27688
INV001419,6,85.8,137,Yes,67428
INV001423,8,48.6,105,Yes,64384
INV001428,6,79.4,174,Yes,72032
INV001432,6,71.4,175,Yes,22656
INV001434,6,80.6,178,Yes,73116
INV001442,9,57.1,238,Yes,67217
INV001454,7,73.0,176,Yes,37667
INV001455,8,64.7,153,Yes,47113
INV001457,6,43.8,63,Yes,85947
INV001458,7,59.8,101,Yes,78518
INV001466,6,44.6,82,Yes,102555
INV001472,6,79.0,141,Yes,119937
INV001482,6,80.6,280,Yes,84250
INV001485,9,55.0,150,Yes,113230
INV001491,6,98.8,260,Yes,37904
INV001497,9,63.0,138,Yes,77902
INV001504,9,54.2,134,Yes,131804
INV001507,6,86.2,167,Yes,24004
INV001510,7,66.8,124,Yes,113185
INV001514,7,51.8,72,Yes,150056
INV001516,6,56.8,85,Yes,106727
INV001526,6,50.4,134,Yes,45632
INV001530,7,64.7,122,Yes,18100
INV001532,7,56.8,101,Yes,82757
INV001536,7,69.0,189,Yes,108107
INV001545,6,92.8,208,Yes,85986
INV001547,7,72.2,119,Yes,75405
INV001548,6,80.6,197,Yes,71244
INV001550,7,79.0,191,Yes,85924
INV001551,6,61.8,131,Yes,18205
INV001562,10,44.2,146,Yes,66556
INV001564,8,55.7,157,Yes,74288
INV001569,6,83.4,314,Yes,84525
INV001579,7,75.0,193,Yes,133855
INV001580,7,45.7,119,Yes,85427
INV001585,6,56.6,182,Yes,61091
INV001587,7,65.0,144,Yes,72452
INV001597,7,56.0,165,Yes,99091
INV001599,6,58.2,133,Yes,52681
INV001602,6,93.8,294,Yes,66310
INV001603,7,54.5,93,Yes,64051
INV001605,8,60.6,136,Yes,161888
INV001606,7,67.7,148,Yes,95656
INV001616,9,53.0,117,Yes,153361
INV001623,6,92.0,188,Yes,62993
INV001625,6,72.0,209,Yes,15000
INV001628,8,51.7,139,Yes,111394
INV001629,7,67.5,82,Yes,34149
INV001631,6,57.0,101,Yes,9317
INV001636,9,48.9,159,Yes,35935
INV001641,6,88.4,168,Yes,77129
INV001644,6,65.6,89,Yes,123765
INV001645,6,67.6,202,Yes,48283
INV001649,10,51.7,120,Yes,113458
INV001651,7,78.7,130,Yes,162293
INV001653,6,55.2,94,Yes,76639
INV001654,7,56.0,137,Yes,108816
INV001656,8,59.9,246,Yes,78037
INV001662,6,60.2,147,Yes,67445
INV001672,9,34.0,130,Yes,90532
INV001673,11,49.3,181,Yes,81749
INV001680,9,58.9,200,Yes,47015
INV001683,7,72.5,186,Yes,80088
INV001689,6,83.6,153,Yes,59823
INV001690,7,81.2,114,Yes,62532
INV001691,6,82.0,254,Yes,40648
INV001694,8,66.1,144,Yes,146945
INV001697,9,62.5,287,Yes,118132
INV001699,6,83.2,183,Yes,103956
INV001709,6,51.8,84,Yes,50259
INV001711,7,65.8,189,Yes,26390
INV001712,6,66.6,144,Yes,66274
INV001715,8,68.3,188,Yes,103613
INV001718,6,84.0,237,Yes,151909
INV001724,7,69.7,134,Yes,87580
INV001728,8,50.6,131,Yes,142998
INV001737,7,56.8,191,Yes,103141
INV001738,9,47.5,153,Yes,157288
INV001739,9,52.5,96,Yes,113721
INV001741,6,89.4,260,Yes,94729
INV001744,7,78.5,155,Yes,84479
INV001752,7,69.3,170,Yes,50982
INV001753,11,42.8,128,Yes,111704
INV001757,8,55.6,121,Yes,16121
INV001759,10,49.6,126,Yes,108215
INV001769,6,98.0,166,Yes,28957
INV001772,6,95.0,184,Yes,113146
INV001775,8,29.1,65,Yes,92864
INV001777,9,57.6,156,Yes,115340
INV001778,8,63.6,283,Yes,54721
INV001797,7,79.7,132,Yes,45355
INV001800,7,49.7,132,Yes,100392
INV001802,7,61.7,151,Yes,99376
INV001803,6,59.0,127,Yes,29638
INV001804,8,55.9,126,Yes,97734
INV001806,8,60.0,209,Yes,98260
INV001809,6,95.6,249,Yes,66937
INV001811,9,54.2,196,Yes,234390
INV001822,6,19.8,43,Yes,43103
INV001823,8,58.1,172,Yes,30886
INV001826,6,51.2,128,Yes,43001
INV001828,8,44.4,91,Yes,57282
INV001831,6,72.8,181,Yes,47766
INV001837,7,62.8,157,Yes,75034
INV001841,6,56.2,129,Yes,48729
INV001853,8,47.4,95,Yes,158089
INV001858,8,55.1,261,Yes,111198
INV001865,7,63.5,145,Yes,37490
INV001866,6,58.8,117,Yes,52342
INV001870,7,76.0,164,Yes,151119
INV001871,7,55.0,101,Yes,104709
INV001883,6,99.2,203,Yes,16745
INV001885,6,71.2,128,Yes,16314
INV001886,9,50.8,129,Yes,73898
INV001890,6,102.6,207,Yes,7890
INV001891,6,96.4,261,Yes,22169
INV001909,8,62.1,121,Yes,77716
INV001912,6,86.4,256,Yes,72585
INV001920,7,39.0,76,Yes,111406
INV001921,8,68.6,225,Yes,94294
INV001923,7,80.7,106,Yes,42011
INV001924,7,59.2,119,Yes,95896
INV001927,6,58.8,91,Yes,42729
INV001929,6,66.2,242,Yes,67484
INV001937,8,60.4,253,Yes,52043
INV001938,9,43.0,112,Yes,46935
INV001943,6,74.4,171,Yes,63792
INV001950,7,60.2,134,Yes,88383
INV001951,7,58.8,124,Yes,39840
INV001954,6,86.8,273,Yes,38164
INV001955,6,76.0,199,Yes,80106
INV001961,6,83.4,234,Yes,87250
INV001969,6,79.2,163,Yes,22578
INV001971,8,54.7,87,Yes,96207
INV001972,8,42.4,153,Yes,147921
INV001978,6,83.2,112,Yes,33387
INV001979,6,55.4,100,Yes,78262
INV001982,6,85.8,289,Yes,118849
INV001986,7,47.7,98,Yes,93572
INV001987,7,67.0,241,Yes,101651
INV001990,8,45.3,91,Yes,60133
INV001993,6,56.6,147,Yes,42253
INV001995,6,48.6,94,Yes,76418
INV001997,6,88.6,168,Yes,23078
INV002001,6,84.8,335,Yes,35997
INV002006,6,73.6,157,Yes,56278
INV002010,6,74.6,103,Yes,111364
INV002017,7,44.7,99,Yes,48099
INV002018,6,63.6,106,Yes,22792
INV002019,6,68.8,117,Yes,50866
INV002025,7,55.8,92,Yes,52531
INV002033,7,55.0,123,Yes,43182
INV002034,8,69.0,166,Yes,75286
INV002037,6,33.2,61,Yes,58317
INV002038,6,84.0,202,Yes,89042
INV002051,6,78.6,159,Yes,101112
INV002052,7,44.2,114,Yes,143832
INV002069,10,47.6,95,Yes,82746
INV002070,7,81.3,118,Yes,70993
INV002083,10,51.7,193,Yes,142753
INV002085,6,65.0,220,Yes,89035
INV002090,6,90.2,231,Yes,38375
INV002092,7,33.5,54,Yes,63358
INV002101,6,80.2,248,Yes,71140
INV002102,6,44.8,63,Yes,90782
INV002107,8,71.1,298,Yes,100667
INV002111,8,62.4,123,Yes,84899
INV002119,6,78.0,195,Yes,82710
INV002121,7,68.5,197,Yes,69342
INV002122,7,40.3,97,Yes,66891
INV002127,6,60.2,113,Yes,66425
INV002134,7,82.7,180,Yes,29028
INV002138,6,91.8,189,Yes,20298
INV002142,9,45.5,162,Yes,118669
INV002143,8,63.6,148,Yes,73958
INV002149,8,42.3,215,Yes,71024
INV002150,6,73.6,216,Yes,57183
INV002151,9,60.4,201,Yes,185290
INV002153,7,67.8,194,Yes,28131
INV002154,6,89.4,175,Yes,42587
INV002155,6,78.0,190,Yes,24270
INV002157,7,58.5,142,Yes,66010
INV002159,6,65.0,104,Yes,57957
INV002162,9,58.4,198,Yes,176674
INV002166,6,99.2,248,Yes,88421
INV002171,7,55.8,150,Yes,55736
INV002177,7,73.0,330,Yes,93321
INV002178,8,66.4,236,Yes,66309
INV002179,8,54.1,171,Yes,77276
INV002182,7,70.5,148,Yes,127872
INV002185,6,48.4,92,Yes,87101
INV002186,7,74.8,167,Yes,110455
INV002187,7,67.8,221,Yes,51698
INV002195,9,49.2,154,Yes,141661
INV002196,8,62.1,115,Yes,123014
INV002198,9,43.0,93,Yes,50035
INV002199,7,50.8,94,Yes,22813
INV002202,8,70.4,276,Yes,16013
INV002206,7,49.0,141,Yes,119856
INV002208,7,71.3,142,Yes,113907
INV002211,7,63.8,109,Yes,75896
INV002216,8,61.7,172,Yes,122472
INV002218,6,67.8,181,Yes,78519
INV002219,8,70.9,166,Yes,41599
INV002228,6,68.6,109,Yes,75215
INV002229,6,64.6,101,Yes,113731
INV002230,8,57.6,171,Yes,170960
INV002232,7,69.2,174,Yes,105171
INV002236,7,73.7,119,Yes,38246
INV002237,7,51.7,142,Yes,61264
INV002240,7,77.8,266,Yes,28229
INV002241,7,65.7,124,Yes,40838
INV002251,6,62.6,157,Yes,140754
INV002256,6,75.6,115,Yes,86659
INV002259,7,45.3,89,Yes,139276
INV002260,6,77.8,235,Yes,43224
INV002265,7,63.2,244,Yes,74670
INV002277,7,67.3,127,Yes,58558
INV002280,7,71.7,182,Yes,48070
INV002282,6,53.2,102,Yes,90468
INV002284,6,85.0,277,Yes,113616
INV002290,6,61.6,112,Yes,49049
INV002294,8,48.7,163,Yes,93669
INV002295,7,64.5,159,Yes,97348
INV002298,6,23.2,37,Yes,79273
INV002304,10,42.6,104,Yes,88837
INV002315,7,71.8,174,Yes,71574
INV002319,7,60.0,123,Yes,77278
INV002322,6,63.4,102,Yes,54669
INV002327,6,76.4,215,Yes,17936
INV002329,7,57.0,183,Yes,94661
INV002342,6,74.2,212,Yes,43134
INV002343,9,57.8,115,Yes,97388
INV002347,9,40.5,79,Yes,30517
INV002348,6,94.4,166,Yes,43335
INV002349,6,52.2,75,Yes,31786
INV002351,6,77.2,204,Yes,66039
INV002357,7,68.3,240,Yes,77648
INV002360,9,56.1,129,Yes,147868
INV002361,6,55.4,198,Yes,123135
INV002367,7,52.5,134,Yes,52309
INV002368,7,61.2,215,Yes,36706
INV002369,6,60.0,136,Yes,142348
INV002370,7,70.2,237,Yes,89876
INV002372,6,95.2,133,Yes,55170
INV002373,8,70.1,154,Yes,177377
INV002374,6,21.2,34,No,87120
INV002384,10,39.1,92,Yes,107297
INV002388,6,33.2,84,Yes,109517
INV002389,10,50.8,126,Yes,37401
INV002390,6,47.0,100,Yes,90741
INV002391,6,40.2,124,Yes,59250
INV002395,6,97.0,225,Yes,58610
INV002400,9,55.4,141,Yes,37008
INV002401,8,59.1,125,Yes,30941
INV002402,7,47.2,89,Yes,91623
INV002407,7,47.8,167,Yes,68991
INV002409,8,55.6,125,Yes,88823
INV002413,8,53.0,189,Yes,63974
INV002415,8,57.4,110,Yes,96841
INV002417,7,83.3,190,Yes,126729
INV002418,6,91.6,128,Yes,34952
INV002420,6,72.8,107,Yes,54588
INV002422,10,50.3,139,Yes,78015
INV002429,6,78.6,216,Yes,95082
INV002434,6,88.2,217,Yes,38421
INV002437,7,49.2,212,Yes,180355
INV002445,8,38.1,117,Yes,93265
INV002453,7,63.0,87,Yes,76815
INV002458,6,72.4,232,Yes,80628
INV002459,8,53.7,161,Yes,40242
INV002463,6,95.4,236,Yes,43792
INV002464,6,35.4,97,Yes,50372
INV002466,7,80.7,270,Yes,96619
INV002467,8,38.9,116,Yes,200058
INV002471,6,56.4,98,Yes,65355
INV002475,10,49.7,119,Yes,65140
INV002476,6,86.0,235,Yes,74851
INV002485,6,70.4,136,Yes,58588
INV002490,8,70.0,125,Yes,221876
INV002495,6,82.2,174,Yes,64609
INV002496,6,53.0,156,Yes,28341
INV002497,8,67.3,152,Yes,105613
INV002508,9,51.6,171,Yes,128547
INV002509,10,33.7,74,Yes,117779
INV002510,7,64.3,176,Yes,83001
INV002521,6,74.6,206,Yes,46638
INV002527,7,49.7,93,Yes,9444
INV002530,8,71.4,175,Yes,74111
INV002531,7,76.3,182,Yes,30854
INV002543,7,74.7,116,Yes,90368
INV002547,6,89.0,181,Yes,19927
INV002552,10,48.2,184,Yes,117496
INV002554,7,49.7,100,Yes,51011
INV002555,7,72.0,172,Yes,87655
INV002557,7,67.2,264,Yes,32589
INV002558,6,97.6,297,Yes,52002
INV002560,6,95.2,155,Yes,25934
INV002563,6,65.8,114,Yes,18179
INV002567,6,82.0,127,Yes,51780
INV002568,8,61.6,144,Yes,138384
INV002570,7,62.0,150,Yes,26296
INV002572,8,55.7,108,Yes,126760
INV002574,6,79.4,139,Yes,98204
