first_month,month,active_investors,cohort_size,months_since_cohort,retention_rate
2024-03-01,2024-11-01,134,612,8,0.21895424836601307
2024-03-01,2024-12-01,147,612,9,0.24019607843137256
2024-03-01,2025-01-01,154,612,10,0.25163398692810457
2024-03-01,2025-02-01,121,612,11,0.1977124183006536
2024-03-01,2025-03-01,138,612,12,0.22549019607843138
2024-03-01,2025-04-01,128,612,13,0.20915032679738563
2024-03-01,2025-05-01,135,612,14,0.22058823529411764
2024-04-01,2024-04-01,450,450,0,1.0
2024-04-01,2024-05-01,75,450,1,0.16666666666666666
2024-04-01,2024-06-01,107,450,2,0.23777777777777778
2024-04-01,2024-07-01,97,450,3,0.21555555555555556
2024-04-01,2024-08-01,97,450,4,0.21555555555555556
2024-04-01,2024-09-01,97,450,5,0.21555555555555556
2024-04-01,2024-10-01,98,450,6,0.21777777777777776
2024-04-01,2024-11-01,87,450,7,0.19333333333333333
2024-04-01,2024-12-01,93,450,8,0.20666666666666667
2024-04-01,2025-01-01,106,450,9,0.23555555555555555
2024-04-01,2025-02-01,82,450,10,0.18222222222222223
2024-04-01,2025-03-01,88,450,11,0.19555555555555557
2024-04-01,2025-04-01,96,450,12,0.21333333333333335
2024-04-01,2025-05-01,101,450,13,0.22444444444444445
2024-05-01,2024-05-01,357,357,0,1.0
2024-05-01,2024-06-01,53,357,1,0.1484593837535014
2024-05-01,2024-07-01,99,357,2,0.2773109243697479
2024-05-01,2024-08-01,80,357,3,0.22408963585434175
2024-05-01,2024-09-01,56,357,4,0.1568627450980392
2024-05-01,2024-10-01,79,357,5,0.22128851540616246
2024-05-01,2024-11-01,77,357,6,0.21568627450980393
2024-05-01,2024-12-01,90,357,7,0.25210084033613445
2024-05-01,2025-01-01,86,357,8,0.24089635854341737
2024-05-01,2025-02-01,64,357,9,0.1792717086834734
2024-05-01,2025-03-01,88,357,10,0.24649859943977592
2024-05-01,2025-04-01,75,357,11,0.21008403361344538
2024-05-01,2025-05-01,73,357,12,0.20448179271708683
2024-06-01,2024-06-01,300,300,0,1.0
2024-06-01,2024-07-01,72,300,1,0.24
2024-06-01,2024-08-01,58,300,2,0.19333333333333333
2024-06-01,2024-09-01,49,300,3,0.16333333333333333
2024-06-01,2024-10-01,71,300,4,0.23666666666666666
2024-06-01,2024-11-01,51,300,5,0.17
2024-06-01,2024-12-01,61,300,6,0.20333333333333334
2024-06-01,2025-01-01,70,300,7,0.23333333333333334
2024-06-01,2025-02-01,59,300,8,0.19666666666666666
2024-06-01,2025-03-01,54,300,9,0.18
2024-06-01,2025-04-01,63,300,10,0.21
2024-06-01,2025-05-01,50,300,11,0.16666666666666666
2024-07-01,2024-07-01,252,252,0,1.0
2024-07-01,2024-08-01,49,252,1,0.19444444444444445
2024-07-01,2024-09-01,53,252,2,0.21031746031746032
2024-07-01,2024-10-01,44,252,3,0.1746031746031746
2024-07-01,2024-11-01,44,252,4,0.1746031746031746
2024-07-01,2024-12-01,43,252,5,0.17063492063492064
2024-07-01,2025-01-01,50,252,6,0.1984126984126984
2024-07-01,2025-02-01,43,252,7,0.17063492063492064
2024-07-01,2025-03-01,48,252,8,0.19047619047619047
2024-07-01,2025-04-01,42,252,9,0.16666666666666666
2024-07-01,2025-05-01,51,252,10,0.20238095238095238
2024-08-01,2024-08-01,204,204,0,1.0
2024-08-01,2024-09-01,26,204,1,0.12745098039215685
2024-08-01,2024-10-01,42,204,2,0.20588235294117646
2024-08-01,2024-11-01,30,204,3,0.14705882352941177
2024-08-01,2024-12-01,33,204,4,0.16176470588235295
2024-08-01,2025-01-01,37,204,5,0.18137254901960784
2024-08-01,2025-02-01,38,204,6,0.18627450980392157
2024-08-01,2025-03-01,43,204,7,0.2107843137254902
2024-08-01,2025-04-01,36,204,8,0.17647058823529413
2024-08-01,2025-05-01,46,204,9,0.22549019607843138
2024-09-01,2024-09-01,154,154,0,1.0
2024-09-01,2024-10-01,23,154,1,0.14935064935064934
2024-09-01,2024-11-01,25,154,2,0.16233766233766234
2024-09-01,2024-12-01,28,154,3,0.18181818181818182
2024-09-01,2025-01-01,30,154,4,0.19480519480519481
2024-09-01,2025-02-01,26,154,5,0.16883116883116883
2024-09-01,2025-03-01,24,154,6,0.15584415584415584
2024-09-01,2025-04-01,25,154,7,0.16233766233766234
2024-09-01,2025-05-01,22,154,8,0.14285714285714285
2024-10-01,2024-10-01,139,139,0,1.0
2024-10-01,2024-11-01,33,139,1,0.23741007194244604
2024-10-01,2024-12-01,27,139,2,0.19424460431654678
2024-10-01,2025-01-01,16,139,3,0.11510791366906475
2024-10-01,2025-02-01,31,139,4,0.22302158273381295
2024-10-01,2025-03-01,24,139,5,0.17266187050359713
2024-10-01,2025-04-01,24,139,6,0.17266187050359713
2024-10-01,2025-05-01,23,139,7,0.16546762589928057
2024-11-01,2024-11-01,94,94,0,1.0
2024-11-01,2024-12-01,16,94,1,0.1702127659574468
2024-11-01,2025-01-01,20,94,2,0.2127659574468085
2024-11-01,2025-02-01,12,94,3,0.1276595744680851
2024-11-01,2025-03-01,22,94,4,0.23404255319148937
2024-11-01,2025-04-01,10,94,5,0.10638297872340426
2024-11-01,2025-05-01,18,94,6,0.19148936170212766
2024-12-01,2024-12-01,88,88,0,1.0
2024-12-01,2025-01-01,16,88,1,0.18181818181818182
2024-12-01,2025-02-01,12,88,2,0.13636363636363635
2024-12-01,2025-03-01,12,88,3,0.13636363636363635
2024-12-01,2025-04-01,10,88,4,0.11363636363636363
2024-12-01,2025-05-01,9,88,5,0.10227272727272728
2025-01-01,2025-01-01,60,60,0,1.0
2025-01-01,2025-02-01,6,60,1,0.1
2025-01-01,2025-03-01,9,60,2,0.15
2025-01-01,2025-04-01,5,60,3,0.08333333333333333
2025-01-01,2025-05-01,7,60,4,0.11666666666666667
2025-02-01,2025-02-01,79,79,0,1.0
2025-02-01,2025-03-01,10,79,1,0.12658227848101267
2025-02-01,2025-04-01,5,79,2,0.06329113924050633
2025-02-01,2025-05-01,13,79,3,0.16455696202531644
2025-03-01,2025-03-01,70,70,0,1.0
2025-03-01,2025-04-01,9,70,1,0.12857142857142856
2025-03-01,2025-05-01,4,70,2,0.05714285714285714
2025-04-01,2025-04-01,39,39,0,1.0
2025-04-01,2025-05-01,3,39,1,0.07692307692307693
2025-05-01,2025-05-01,58,58,0,1.0
